"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","variable.name","date","start.date","end.date","mean","min.dbh","citation.ID","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.hist.type","regrowth.year","dist.mrs.hist.type","dist.mrs.yr"
4173,"DJK-04_Dja Somolomo","african tropical forest","999","woody","2TEB","biomass_ag","2007",NA,NA,138.838,"NAC","Lewis_2009_icsi","Cameroon",3.36,12.73,639,23.7,1619,216,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
4174,"DJK-05_Dja Somolomo","african tropical forest","999","woody","2TEB","biomass_ag","2007",NA,NA,266.96,"NAC","Lewis_2009_icsi","Cameroon",3.32,12.76,779,23.6,1623,216,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
4175,"DJK-06_Dja Somolomo","african tropical forest","999","woody","2TEB","biomass_ag","2007",NA,NA,140.812,"NAC","Lewis_2009_icsi","Cameroon",3.33,12.76,639,23.5,1623,216,"Afrotropics","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC"
4176,"Doi Inthanon","Evergreen forest","999","woody","2TEB","biomass_ag","NAC",NA,NA,285,"NAC","Liu_2014_htpa","Thailand",18.5248,98.4965,NA,20.9,1908,220,"IndoMalay","Aw","Tropical mountain system","NAC","NAC","NAC","NAC","NAC","NAC"
4177,"Doi Inthanon National Park.Mae Klang Luang village","7 uncultivated forest stands","999","woody","2TEB","biomass_ag","NI","NI","NI",114.116,"1","Fukushima_2008_sfsa","Thailand",18.55,98.516667,1265.3,21.1,1908,220,"IndoMalay","Aw","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC"
4578,"Eastern Jamaica","montane rainforest","999","woody","2TEB","biomass_ag","NAC",NA,NA,204,"NAC","Tanner_1980_sotb","Jamaica",18,-77,NA,24.4,1685,225,"Neotropics","Aw","Tropical rainforest","NAC","NAC","NAC","NAC","NAC","NAC"
4579,"Eastern Jamaica","montane rainforest","999","woody","2TEB","total.ecosystem_2","NAC",NA,NA,204,"NAC","Tanner_1980_sotb","Jamaica",18,-77,NA,24.4,1685,225,"Neotropics","Aw","Tropical rainforest","NAC","NAC","NAC","NAC","NAC","NAC"
4630,"Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.127 y","127","woody","2TDN","biomass_ag","1993.49589",NA,NA,56.494,"NAC","Schulze_1995_aban","Russia",60.85,128.27,NA,-11.308333,213,229,"Palearctic","Dfd","Boreal coniferous forest","NAC","1866","Initiation of post-disturbance cohort (natural)","1866","Burned","1866"
4632,"Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.127 y","127","woody","2TDN","biomass_ag_foliage","1993.49589",NA,NA,1.081,"NAC","Schulze_1995_aban","Russia",60.85,128.27,NA,-11.308333,213,229,"Palearctic","Dfd","Boreal coniferous forest","NAC","1866","Initiation of post-disturbance cohort (natural)","1866","Burned","1866"
4633,"Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.133 y","133","woody","2TDN","biomass_ag","1993.49589",NA,NA,33.981,"NAC","Schulze_1995_aban","Russia",60.85,128.27,NA,-11.308333,213,229,"Palearctic","Dfd","Boreal coniferous forest","NAC","1860","Initiation of post-disturbance cohort (natural)","1860","Burned","1860"
