siteID,sites.sitename,city,state,country,lat,lon,masl,geography.notes,mat,min.temp,max.temp,map,climate.notes,soil.texture,soil.classification,soilnotes,hydrology.notes,sitenotes,siteref,area,biogeog,Koeppen,FAOecozone,siteID.v1,tropical_extratropical,indicates.site.that.lacks.info.direct.from.pub,loaded_from,loaded_by
1923,Willow Creek (WC)-Chequamegon National Forest ,NAC,Wisconsin,United States of America,45.783,-90.083,480,NA,4.8,NAC,NAC,776,NA,fine sand to loamy fine sand,Spodosol,Spodosol; entic haplorthod,NA,NA,NA,256,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,Bety-DB data download 4/10/2014 (Matlab output),
1924,Willow Creek AE 1,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1925,Willow Creek AE 2,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1926,Willow Creek AF 1,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1927,Willow Creek AF 2,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1928,Willow Creek IA 1,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1929,Willow Creek IA 2,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1930,Willow Creek NH 1,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1931,Willow Creek NH 2,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1932,Willow Creek NH 3,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1933,Willow Creek NH 4,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1934,Willow Creek YA 1,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1935,Willow Creek YA 2,NAC,Wisconsin,United States of America,45.48,-90.08,480,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NA,NA,NA,"Martin & Bolstad 2005,",258,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1936,Winand,NAC,Gelderland,Netherlands,52.17,5.74,NAC,NA,9.8,NAC,NAC,786,NA,NAC,NAC,NA,NA,NA,NA,NA,Palearctic,Cfb,Temperate oceanic forest,NA,extratropical,,Yu2014,Maria
1937,Wind River Canopy Crane,NAC,Washington,United States of America,45.82,-121.95,355,NA,8.9,NAC,NAC,3725.5,NA,clay loam,NAC,NA,NA,NA,"www Ameriflux,Law et al 2002,",204,Nearctic,Csb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1938,Wind River Ranger District chronosequence: clear-cut,NAC,Washington,United States of America,45.82,-121.97,767.5,NA,9.02499,NAC,NAC,2500,NA,NAC,Inceptisol,Soils are classified as well-drained Stabler series Andic Haplumbrept derived from recent volcanic tephra.,NA,NA,NA,204,Nearctic,Csb,Temperate mountain system,NA,extratropical,,,
1939,Wind River Ranger District chronosequence: harvested or stand-replacing fire,NAC,Washington,United States of America,45.82,-121.97,767.5,NA,9.02499,NAC,NAC,2500,NA,NAC,Inceptisol,Soils are classified as well-drained Stabler series Andic Haplumbrept derived from recent volcanic tephra.,NA,NA,NA,204,Nearctic,Csb,Temperate mountain system,NA,extratropical,,,
1940,Wind River Ranger District Chronosequence: Primary Forest,NAC,Washington,United States of America,45.82,-121.97,767.5,NA,9.02499,NAC,NAC,2500,NA,NAC,Inceptisol,Soils are classified as well-drained Stabler series Andic Haplumbrept derived from recent volcanic tephra.,NA,NA,NA,204,Nearctic,Csb,Temperate mountain system,NA,extratropical,,,
1941,Wisconsin (cool dry),NAC,Wisconsin,United States of America,45.5,-89.33,NAC,NA,5.3,NAC,NAC,800,NA,NAC,NAC,NA,NA,NA,NA,NA,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,Keith et al. 2009 (in Liu 2014): #213,Maria
1942,WLEF tower in Park Falls Ranger District,NAC,Wisconsin,United States of America,45.9459,-90.2723,485,NA,6.6,NAC,NAC,792,NA,sandy loam,NAC,NA,NA,NA,"www Ameriflux, coords from Davis 2003",256,Nearctic,Dfb,Temperate continental forest,NA,extratropical,*,Luyssaert2007,Maria
1943,Wolongwan 1,Wenchuan,Sichuan,China,30.9,103.1,NAC,NA,7.4,NAC,NAC,853,NA,NAC,NAC,NA,NA,NA,NA,NA,Palearctic,Cwb,Subtropical humid forest,NA,extratropical,,Liu 2014: #424,Maria
